timestamp_s,x,y,polarity
0.397303000,157,101,-1
0.397303000,148,182,-1
0.397304000,213,88,1
0.397305000,157,87,-1
0.397306000,107,172,-1
0.397308000,160,105,-1
0.397310000,99,159,-1
0.397312000,166,105,1
0.397312000,170,130,1
0.397314000,156,94,-1
0.397317000,174,115,-1
0.397317000,171,162,1
0.397325000,98,155,-1
0.397326000,117,112,1
0.397327000,191,66,1
0.397328000,193,67,1
0.397329000,210,80,1
0.397329000,166,123,1
0.397329000,173,152,1
0.397330000,98,156,-1
0.397331000,168,116,-1
0.397333000,151,111,1
0.397334000,146,109,1
0.397335000,201,117,-1
0.397340000,106,171,-1
0.397341000,97,142,-1
0.397342000,163,113,-1
0.397343000,156,95,-1
0.397346000,119,111,1
0.397347000,160,108,-1
0.397350000,161,110,-1
0.397352000,194,67,1
0.397352000,140,184,-1
0.397353000,159,106,-1
0.397353000,168,126,1
0.397354000,165,115,-1
0.397355000,164,77,-1
0.397357000,157,102,-1
0.397359000,156,96,-1
0.397359000,169,128,1
0.397359000,139,184,-1
0.397362000,161,78,-1
0.397363000,213,90,-1
0.397365000,163,108,-1
0.397365000,166,108,-1
0.397365000,172,120,-1
0.397367000,187,67,-1
0.397367000,184,123,-1
0.397368000,103,167,-1
0.397370000,153,112,1
0.397370000,109,174,-1
0.397371000,129,108,1
0.397371000,106,172,1
0.397373000,110,175,-1
0.397374000,191,69,-1
0.397374000,100,161,-1
0.397376000,166,116,-1
0.397376000,97,151,-1
0.397378000,158,115,1
0.397378000,130,184,-1
0.397379000,145,183,-1
0.397379000,136,189,-1
0.397380000,170,118,-1
0.397380000,185,123,-1
0.397382000,202,71,1
0.397383000,171,131,1
0.397385000,213,97,-1
0.397385000,159,107,-1
0.397387000,97,141,-1
0.397387000,116,179,-1
0.397388000,209,103,1
0.397388000,165,170,1
0.397388000,107,202,1
0.397389000,202,112,-1
0.397391000,141,108,1
0.397391000,122,182,-1
0.397395000,108,173,-1
0.397397000,171,132,1
0.397400000,173,139,1
0.397400000,107,174,-1
0.397404000,161,108,1
0.397405000,97,149,-1
0.397408000,148,182,-1
0.397409000,173,140,1
0.397409000,131,184,-1
0.397410000,164,114,-1
0.397410000,120,181,-1
0.397413000,102,165,-1
0.397413000,107,203,1
0.397416000,177,67,-1
0.397416000,203,113,1
0.397418000,125,183,-1
0.397419000,212,92,-1
0.397419000,157,101,-1
0.397421000,163,77,1
